PROGRAMA;A;B;C;D;E;F_;G;H;I;J;K;L;M;N;O;P;Q;R;S;T_;U;V;W;X;Y;Z;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB
Agronomia, Mencion Produccion Agricola Sostenible;7;9;9;7;8;9;6;9;9;7;7;7;9;6;8;7;8;9;6;8;8;7;9;9;7;6;7;4;4;9;6;9;9;1;9;5;7;9;9;9;9;5;6;8;7;7;8;5;7;6;7;8;9;7
Administracion de Empresas;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;8;9;8;8;8;8;9;9;9;9;9;9;8;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;7;7;7;7;9;9;7;9;7;9;7;7;9;9;7;5;9;8;8;8;8;8;6;5;7;7;8;6;9;5;3;8;9;1;5;3;9;9;1;9;9;9;5;9;7;7;7;7;7;7;7;7;7;7
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;5;8;6;9;9;9;8;9;8;8;8;7;9;9;9;9;9;9;8;8;8;7;7;7;9;9;8;4;9;7;7;8;9;5;8;7;8;8;8;8;7;9;7;9;8;9;9;5;8;8;9;9;9;8
MatemAtica;5;8;5;8;8;8;7;7;8;7;7;7;8;8;8;7;7;8;8;8;5;8;7;8;8;8;5;6;8;8;4;8;8;8;8;8;6;8;8;5;8;5;6;8;8;8;8;6;8;7;8;7;7;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;6;5;9;7;7;7;7;9;9;7;7;6;7;7;7;7;7;7;6;7;7;7;5;8;8;8;9;9;9;9;6;7;7;3;7;4;7;7;1;7;5;5;1;1;7;5;7;5;7;7;7;7;7;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;8;9;9;7;8;8;9;7;7;9;9;9;9;9;8;9;9;8;8;7;8;9;9;9;9;9;7;9;8;9;6;8;9;8;9;9;7;9;9;8;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;7;9;8;8;8;8;9;7;8;8;7;9;8;8;8;9;9;8;8;8;8;8;9;9;8;8;8;8;9;8;9;9;8;7;8;8;9;8;8;8;8;7;8;8;7;8;8;8;7;8;8;8;8
Agronomia, Mencion Agricultura Sostenible;7;8;9;8;8;8;8;9;7;8;7;6;9;8;8;8;8;8;7;7;6;9;8;8;7;7;9;6;7;5;5;7;7;1;5;8;8;8;5;6;5;7;6;8;8;8;8;5;6;7;8;8;7;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;9;9;6;9;9;7;9;8;8;8;7;8;8;8;8;8;8;7;8;8;6;7;8;7;7;7;7;8;6;6;8;8;8;8;8;8;8;9;9;9;9;8;9;9;8;8;9;8;8;8;9;9;9
Ingenieria Quimica, Mencion Alimentos;8;7;9;9;9;9;9;9;9;8;8;8;8;8;8;9;8;9;8;9;9;5;7;9;8;8;5;7;8;7;8;9;9;7;8;8;7;7;8;9;8;8;7;8;8;8;8;9;8;8;8;8;8;8
HidrAulica, Mencion Disenos de Obras HidrAulicas;7;9;8;6;9;7;6;6;5;5;3;4;8;5;6;6;7;7;7;6;7;4;2;4;7;3;8;5;7;8;8;8;8;6;6;6;7;7;6;7;7;7;2;9;7;2;7;5;5;6;7;7;8;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;7;9;9;9;9;8;9;9;9;7;8;9;9;9;9;9;7;7;7;9;9;9;9;6;9;8;9;9;6;5;9;9;6;9;9;9;9;9;9;8;9;5;8;9;9;9;9;9;9;9;9;9;8
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;6;9;7;6;5;4;6;6;6;6;6;4;5;6;8;5;8;6;9;9;8;4;5;8;6;9;9;4;6;6;6;6;4;6;7;9;6;8;6;9;9;7;9;8;8;8;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;6;9;7;6;5;4;6;6;6;6;6;4;5;6;8;5;8;6;9;9;8;4;5;8;6;9;9;4;6;6;6;6;4;6;7;9;6;8;6;9;9;7;9;8;8;8;8;8
Optometria, Mencion Contactologia y Terapia Visual;2;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;3;5;3;9;6;9;4;9;4;9;9;9;3;9;9;9;9;7;1;9;9;1;9;9;9;9;2;3;3;9;9;9;8
Agronomia, Mencion Mecanizacion Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;7;7;5;9;9;9;9;9;9;9;9;9;6;9;9;9;9;7;9;7;7;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;8;9;9;9;9;9;9;9;7;9;9;9;9;9;8;8;8;9;9;9;9;9;9;7;9;9;6;6;9;5;7;8;9;9;9;9;9;8;9;9;7;7;7;9;8;9;9;9;9;9;9;9;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;9;9;9;9;9;9;9;9;9;9;9
Agroindustria;4;7;9;8;9;7;9;9;5;7;7;4;9;5;5;5;5;7;6;8;6;5;4;4;7;7;3;2;4;2;2;4;6;1;2;5;5;6;6;4;7;1;2;9;4;6;6;1;5;4;7;6;9;4
MatemAtica;9;7;7;8;8;5;9;9;6;7;8;7;8;8;7;7;8;8;7;7;8;8;7;6;9;7;7;9;6;9;9;9;9;8;3;9;7;6;9;6;8;9;1;9;7;9;9;6;9;9;9;9;9;9
MatemAtica;9;9;9;9;9;7;9;9;9;9;8;8;9;9;8;9;8;8;9;8;5;5;9;1;9;9;5;9;7;9;9;9;9;8;5;8;1;9;5;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Mecanizacion Agricola;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;1;4;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;5;5;6;2;1;2;1;1;5;1;2;1;1;1;1
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;7;9;9;9;9;9;5;9;9;7;7;3;7;4;4;5;6;7;5;8;8;8;7;8;8;3;1;1;7;7;6;7;8;4;7;4;2;4;8;9;9;9;1;9;8;8;8;9;9;3;9;6;9;7
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;8;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;8;8;9;9;9;8;8;9;9;8;8;9;9;9;9;8;9;8;9;9;9;9;9;9
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;8;8;9;9;9;8;9;9;8;9;9;8;9;9;9;9;9;9;9;9;9;9;9;8;9;9;8;9;9;9;9;8;9;8;9;9;9;8;8;9;9;9;8;8;9;9;9;9;9;8;9;9;8;8
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;8;8;9;8;9;9;8;9;8;9;8;8;9;8;9;8;8;8;8;9;8;8;9;9;9;8;9;9;8;9;8;9;9;9;9;8;9;9;8;9;8;8;8;9;9;8;8;8;9;8;9;9;9;8
HidrAulica, Mencion Disenos de Obras HidrAulicas;9;9;9;9;9;9;8;8;7;8;9;8;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;8;8;7;7;8;8;7;7;7;7;7;8;9;9;9;5;8;8;8;8;9;9;9;9;9;9;9
Agronomia, Mencion Agricultura Sostenible;7;7;8;8;8;7;6;7;8;7;6;7;8;8;7;8;7;8;7;7;8;7;7;8;7;7;7;7;7;7;7;7;8;8;7;8;8;7;7;7;7;7;7;7;7;7;8;7;7;8;7;7;7;8
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;8;8;9;9;9;9;9;9;9;8;8;8;9;8;8;9;9;8;8;9;9;6;7;9;9;9;8;7;7;7;8;8;8;8;9;8;8;8;8;9;9;9;4;7;9;8;8;9;8;8;8;9;9;8
HidrAulica, Mencion Disenos de Obras HidrAulicas;9;9;9;9;9;9;9;9;6;8;8;8;9;9;9;8;9;9;9;9;9;9;8;9;8;8;8;8;8;8;6;8;9;4;4;8;7;7;3;9;9;3;1;9;6;8;8;8;8;8;8;8;9;9
HidrAulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;5;8;9;8;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;8;7;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;7;8;7;6;8;8;9;8;8;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9
Ingenieria Agricola;8;9;9;9;7;8;7;9;9;6;6;4;9;7;6;7;7;7;7;9;9;7;3;7;9;8;3;7;9;9;3;8;9;1;8;7;6;6;9;9;9;9;9;9;9;9;9;9;7;7;7;7;7;7
Ingenieria Quimica, Mencion Alimentos;5;5;7;7;7;7;8;9;8;8;7;8;7;8;7;7;7;7;7;7;8;5;6;9;8;7;2;7;5;1;5;7;9;1;7;5;5;5;1;4;8;8;4;7;6;5;5;7;8;2;7;7;7;7
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;9;9;8;8;8;8;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9
Educacion, Mencion Ensenanza BAsica;9;8;9;9;9;8;9;8;8;9;9;9;9;9;9;9;9;9;9;9;8;8;8;9;7;8;5;6;8;4;8;8;9;5;8;9;8;9;7;7;9;9;3;7;8;9;8;5;7;8;8;8;9;8
Agronomia, Mencion Mecanizacion Agricola;8;9;9;8;9;8;7;9;8;8;8;7;9;9;9;9;9;9;9;8;8;8;9;9;9;9;8;8;6;9;9;9;9;9;8;9;9;9;7;9;9;9;9;9;7;8;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;7;7;8;8;7;7;6;8;7;7;7;7;7;7;7;7;8;8;7;7;7;7;7;8;8;8;8;8;8;7;8;8;8;6;7;6;7;7;7;6;7;7;7;7;7;7;8;7;7;7;8;7;7;7
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;7;7;8;8;7;7;6;8;7;7;7;7;7;7;7;7;8;8;7;7;7;7;7;8;8;8;8;8;8;7;8;8;8;6;7;6;7;7;7;6;7;7;7;7;7;7;8;7;7;7;8;7;7;7
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza BAsica;9;9;8;9;9;9;9;9;7;8;9;8;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;6;8;6;7;9;9;8;8;9;8;8;8;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9
Ingenieria Agricola;8;9;9;8;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;5;9;7;7;1;8;9;8;8;5;8;8;8;8;8;8
Administracion de Empresas;9;9;9;9;9;9;8;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;5;8;8;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Desarrollo Local;9;9;9;9;5;9;9;2;2;2;4;3;9;8;7;8;2;7;8;8;1;1;1;2;5;5;1;1;1;1;1;2;6;1;4;6;7;1;1;2;5;5;1;8;5;5;5;7;7;1;5;4;7;7
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza BAsica;8;9;9;8;9;8;9;8;9;9;8;9;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;8;8;9;8;8;9;8;8;9;9;9;8;8;8;9;8;9;8;9;9;8;9;9;9;9;8;8
Agronomia, Mencion Produccion Agricola Sostenible;8;8;8;7;9;8;8;9;8;8;8;8;8;8;8;8;8;8;9;9;9;8;8;6;9;9;9;9;8;9;7;8;9;8;9;9;9;9;8;8;8;9;8;9;8;9;9;8;8;8;8;8;8;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);1;1;1;1;1;1;1;1;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);8;8;9;9;8;8;9;9;8;8;8;9;9;9;9;9;9;9;8;8;8;9;8;7;7;8;8;8;8;8;5;7;8;7;8;8;8;8;7;8;8;8;7;8;8;8;8;8;9;8;8;9;8;8
Agroindustria;9;9;9;8;9;9;9;9;8;9;9;9;9;9;9;9;9;8;9;9;9;9;9;8;8;9;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;8;8;8;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);8;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;4;9;9;9;9;9;9;9;9;9;9;9;8
Educacion, Mencion Ensenanza BAsica;9;9;9;9;9;9;9;9;4;7;8;8;9;8;8;8;9;9;9;9;8;8;9;9;9;9;9;6;8;7;7;8;8;7;7;8;8;9;5;6;7;7;2;7;8;8;7;7;8;8;9;9;9;8
Educacion, Mencion Ensenanza BAsica;8;8;8;8;9;8;9;9;5;9;9;9;9;8;9;9;8;9;9;9;8;9;8;9;9;8;9;9;8;7;7;8;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;9;8;9;9;8;9;9;9;9;8;9;9;9;8;9;9;9;9;9;9;9;9;9;8;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;8;7;1;7;8;6;9;9;9;9;9;9;9;6;7;8;8;7;9;9;9;9;8;9;9;9;9;8;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;8;7;8;8;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;5;7;7;9;9;9;8;8;9;6;9;9;9;9;9;9;9;9;9;8;8;5;9;8;9;9;8;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;9;9;8;8;9;8;9;9;9;9;9;9;9;9;8;8;8;8;9;9;9;5;5;9;8;9;9;9;8;9;9;9;9;8;8;8;8;9;8;9;9;9;9;8;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);8;9;9;9;9;8;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;8;9;8;9;9;8;7;8;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;8;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;8;8;8;8;8;8;7;9;6;7;7;7;9;8;8;8;8;7;7;6;7;7;7;7;9;9;7;6;6;8;7;8;9;7;7;7;7;7;6;8;8;7;5;8;7;8;7;7;7;7;8;8;8;8
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;7;6;9;8;9;9;9;9;9;9;7;8;9;8;8;8;8;8;8;9;9;9;9;9;9;9;8;6;7;7;6;9;9;7;9;9;7;7;5;8;8;8;5;9;9;9;9;8;8;7;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;8;7;7;8;8;8;7;9;6;7;7;8;8;8;8;8;8;8;8;7;6;6;7;6;9;8;7;5;7;8;8;8;9;7;7;8;6;7;6;8;7;7;5;8;6;8;8;6;8;6;8;8;8;8
Administracion de Empresas;8;8;8;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;5;7;7;7;8;8;8;8;8;8;8;8;8;8;6;8;8;7;7;8;8;8;8;8;8;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;8;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;8;9;9;9;9;9
Administracion de Empresas;8;9;9;9;9;9;7;9;8;8;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Administracion de Empresas;7;9;9;6;9;7;8;9;8;9;9;8;8;8;9;9;7;9;9;8;8;9;9;9;4;8;2;2;2;5;1;7;9;1;9;8;8;7;6;9;9;9;1;9;8;9;8;8;2;5;9;9;9;9
Administracion de Empresas;5;5;5;7;6;6;5;7;4;5;5;6;7;7;6;6;6;6;6;6;7;5;4;7;5;7;5;6;5;7;3;5;7;6;5;3;4;5;6;8;7;7;4;6;5;6;5;7;6;5;7;6;7;7
MatemAtica;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;8;8;8;9;9;9;9;8;9;8;8;9;9;8;9;9;8;8;9;8;9;9;3;9;9;9;9;9;8;8;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;8;9;8;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;8;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;8;8;8;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;8;9;9;9;9;9;8;9;9;9;8;9;9;9;9;9;8;9;9;8;8;8;9;9;9;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;8;8;9;9;9;8;8;8;9;9;8;8;8;9;8;8;8;9;9;9;8;8;8;9;8;8;9;8;9;9;9;9;8;8;8;9;8;9;9;9;9;9;8;8;8;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;7;7;9;6;6;7;9;8;8;7;7;7;7;8;7;7;7;8;8;7;8;8;6;5;6;6;4;5;4;3;3;4;7;6;7;8;8;8;8;6;8;6;7;7;7;7;6;7;6;6;7;6;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;8;8;8;8;9;8;8;9;9;7;7;7;8;7;5;8;7;7;7;8;6;7;6;8;9;8;7;6;6;9;8;8;8;8;8;8;7;7;7;9;9;9;8;8;8;8;8;9;8;8;9;9;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza BAsica;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;1;6;9;9;5;9;9;9;9;1;1;5;9;5;9;9;9;9;5;9;7;9;9;8;8
Administracion de Empresas;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;8;8;8;7;8;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;8;9;9;9;8;8;9;8;9;9;9;9;8;8;9;9;9;9;8;8;8;8;9;7;8;8;9;8;9;9;9;9;9;9;9;9;6;9;8;9;9;9;8;8;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;8;9;9;9;8;8;9;8;9;9;9;9;8;8;9;9;9;9;8;8;8;8;9;7;8;8;9;8;9;9;9;9;9;9;9;9;6;9;8;9;9;9;8;8;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;7;9;6;8;8;9;8;9;9;9;9;9;9;9;9
Administracion de Empresas;8;9;9;9;8;5;6;8;4;8;7;7;8;8;6;7;7;7;7;8;7;7;7;7;7;7;5;6;5;7;7;7;8;1;7;7;7;7;8;9;9;5;2;8;7;9;9;9;7;7;8;8;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;7;9;6;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;7;7;7;6;7;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;7;9;6;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;7;7;7;6;7;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;8;9;9;9;9;9;9;9;8;8;8;9;9;9;8;8;9;9;8;8;9;9;9;8;9;9;9;9;9;9;9;8;9;9;9;9;8;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;8;8;8;9;8;8;9;5;8;8;8;9;8;9;9;9;8;8;8;8;8;5;8;5;5;5;2;5;1;5;2;8;5;8;8;7;9;8;9;3;8;3;5;8;8;7;9;6;6;8;9;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
